id;cin;name;registered_address;date_of_incorporation;authorised_capital;paid_up_capital;email_id;date_of_last_agm;date_of_balance_sheet;company_status;roc_code
1;Isle;benchmark;Loan payment;2021-09-04;33465;81737;Rue;2021-09-04;2021-09-05;Enterprise-wide Representative;teal reboot invoice
2;Analyst schemas Electronics;Research Automotive explicit;Steel JBOD Greece;2021-09-04;4358;40753;Technician Road;2021-09-04;2021-09-04;Towels Tuna architecture;Philippines
3;CSS;Computer Hat;Southern middleware;2021-09-04;28712;34325;magnetic Grass-roots;2021-09-04;2021-09-05;Central Investment Extensions;Car
4;Bacon architectures;invoice Borders composite;Alley;2021-09-04;20837;39526;Bolivia;2021-09-04;2021-09-05;Sausages Azerbaijanian;International Montserrat
5;bandwidth structure payment;eco-centric Borders;Pants;2021-09-04;33731;37860;indexing RAM synthesize;2021-09-04;2021-09-05;Central;Response Isle interface
6;Executive;Berkshire Toys;tan;2021-09-04;29803;77763;clicks-and-mortar Handcrafted;2021-09-05;2021-09-04;Refined Personal;network Soap invoice
7;Riel Shoes Dale;Jewelery auxiliary;Coordinator;2021-09-04;48481;9359;Soft Generic content-based;2021-09-04;2021-09-04;New Account capability;aggregate microchip Gabon
8;web;deposit program Gorgeous;Bedfordshire killer input;2021-09-05;88871;15573;synergies;2021-09-04;2021-09-05;Tunnel;Fish
9;digital Squares;transmitter Gorgeous;emulation Ergonomic Streets;2021-09-05;41931;24681;invoice generating;2021-09-05;2021-09-04;RAM Music Account;zero Manager
10;interactive quantifying Sandwich;vortals;Generic Metal;2021-09-04;78088;45664;innovate;2021-09-04;2021-09-04;mobile Research Savings;Granite Delaware
